OTUID,kingdom,phylum,class,order,family,genus,species,confidence
OTU_3555,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Hymenobacter,,1
OTU_3838,Bacteria,Proteobacteria,,,,,,0.85
OTU_3907,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,,0.85
OTU_3767,Bacteria,,,,,,,0.99
OTU_3121,Bacteria,Firmicutes,Bacilli,Lactobacillales,,,,0.97
OTU_3834,Bacteria,Chloroflexi,Anaerolineae,Ardenscatenales,Ardenscatenaceae,Ardenscatena,,0.99
OTU_3120,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],,,,0.98
OTU_3837,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,,,0.84
OTU_2951,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Parachlamydiaceae,,,1
OTU_2366,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,,1
OTU_2367,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,1
OTU_2364,Bacteria,Chloroflexi,Thermomicrobia,JG30-KF-CM45,,,,1
OTU_2365,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,copri,1
OTU_1468,Bacteria,Firmicutes,Clostridia,Clostridiales,,,,0.97
OTU_1818,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,,,0.94
OTU_2360,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,,,0.96
OTU_2361,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Salinibacterium,,0.8
OTU_1815,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,,,0.89
OTU_1814,Bacteria,,,,,,,1
OTU_1817,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,,,,0.82
OTU_1816,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,aerofaciens,1
OTU_1811,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,,,,0.97
OTU_1810,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,,0.98
OTU_1813,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,,,1
OTU_1812,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,,1
OTU_3097,Bacteria,,,,,,,0.99
OTU_3096,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,,,0.89
OTU_3095,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,,1
OTU_3094,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,,,1
OTU_3093,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Spirosoma,,1
OTU_3092,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Desemzia,,0.97
OTU_2548,Bacteria,Acidobacteria,Solibacteres,Solibacterales,,,,0.93
OTU_2549,Bacteria,,,,,,,0.99
OTU_2546,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,[Amoebophilaceae],Candidatus Cardinium,,1
OTU_2547,Bacteria,OD1,SM2F11,,,,,1
OTU_2544,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,,0.97
OTU_2545,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,,,0.92
OTU_2542,Bacteria,,,,,,,0.93
OTU_2543,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,,0.99
OTU_2540,Bacteria,OD1,,,,,,0.95
OTU_2541,Bacteria,Bacteroidetes,,,,,,0.87
OTU_1469,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,Arabidopsis,thaliana,0.95
OTU_2916,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,,,0.87
OTU_3969,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,,,0.86
OTU_3651,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,,,1
OTU_3764,Bacteria,Gemmatimonadetes,Gemmatimonadetes,N1423WL,,,,1
OTU_2148,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,0.95
OTU_2149,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,,,0.98
OTU_3761,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Spirosoma,,1
OTU_3760,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,,1
OTU_3763,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,,0.93
OTU_3762,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Gemmata,,1
OTU_2142,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,,1
OTU_2143,Bacteria,,,,,,,0.98
OTU_2140,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,,0.85
OTU_2141,Bacteria,Proteobacteria,TA18,PHOS-HD29,,,,0.87
OTU_2146,Bacteria,Firmicutes,Clostridia,Clostridiales,,,,0.82
OTU_2147,Bacteria,,,,,,,1
OTU_2144,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,bryophila,0.89
OTU_2145,Bacteria,,,,,,,0.99
OTU_3163,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Zoogloea,,1
OTU_3162,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Hymenobacter,,0.99
OTU_3161,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,,1
OTU_3160,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,,,1
OTU_3167,Bacteria,,,,,,,1
OTU_3166,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,,,0.99
OTU_3165,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,,,1
OTU_3164,Bacteria,,,,,,,0.96
OTU_2854,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,1
OTU_3169,Bacteria,,,,,,,1
OTU_3168,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,,0.93
OTU_556,Bacteria,Firmicutes,Clostridia,Clostridiales,[Mogibacteriaceae],Mogibacterium,,1
OTU_557,Bacteria,Acidobacteria,Solibacteres,Solibacterales,,,,1
OTU_554,Bacteria,,,,,,,0.97
OTU_555,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Hymenobacter,,1
OTU_552,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,,1
OTU_553,Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],Anaerococcus,,1
OTU_550,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,Segetibacter,,1
OTU_551,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,Citrullus,lanatus,0.84
OTU_3783,Bacteria,,,,,,,0.95
OTU_3782,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Candidatus Rhodoluna,,0.83
OTU_3781,Bacteria,Proteobacteria,,,,,,0.86
OTU_3780,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,,0.8
OTU_3787,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],,,1
OTU_3786,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,,,,1
OTU_558,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,,1
OTU_559,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Luteolibacter,,1
OTU_4006,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,,,0.91
OTU_2750,Bacteria,Proteobacteria,,,,,,0.84
OTU_2780,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,,,0.92
OTU_2616,Bacteria,Proteobacteria,,,,,,0.84
OTU_158,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,,,1
OTU_159,Bacteria,Firmicutes,Bacilli,Bacillales,[Exiguobacteraceae],Exiguobacterium,,0.93
OTU_69,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,,,1
OTU_68,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],,,,0.91
OTU_2786,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,,0.88
OTU_2617,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Adhaeribacter,,1
OTU_65,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,,,1
OTU_64,Bacteria,Proteobacteria,Betaproteobacteria,ASSO-13,,,,1
OTU_67,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,thermoamylovorans,0.93
OTU_66,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,,0.83
OTU_156,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,,,1
OTU_60,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Pandoraea,,0.98
OTU_63,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,,,0.94
OTU_62,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,,,0.81
OTU_880,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,Chitinophaga,,1
OTU_881,Bacteria,,,,,,,1
OTU_882,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,,0.91
OTU_883,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,,1
